SEVERITYCODE,X,Y,OBJECTID,INCKEY,COLDETKEY,REPORTNO,STATUS,ADDRTYPE,INTKEY,LOCATION,EXCEPTRSNCODE,EXCEPTRSNDESC,SEVERITYCODE,SEVERITYDESC,COLLISIONTYPE,PERSONCOUNT,PEDCOUNT,PEDCYLCOUNT,VEHCOUNT,INCDATE,INCDTTM,JUNCTIONTYPE,SDOT_COLCODE,SDOT_COLDESC,INATTENTIONIND,UNDERINFL,WEATHER,ROADCOND,LIGHTCOND,PEDROWNOTGRNT,SDOTCOLNUM,SPEEDING,ST_COLCODE,ST_COLDESC,SEGLANEKEY,CROSSWALKKEY,HITPARKEDCAR
1,-122.3189581,47.69584206,192,2907,2907,1780512,Matched,Block,,NE 92ND ST BETWEEN 8TH AVE NE AND ROOSEVELT WAY NE,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2004/04/25 00:00:00+00,4/25/2004 5:00,Mid-Block (not related to intersection),16,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE SIDESWIPE",,0,Unknown,Unknown,Unknown,,4116048,,32,One parked--one moving,0,0,N
1,,,193,320833,322333,E937155,Matched,,,,NEI,"Not Enough Information, or Insufficient Location Information",1,Property Damage Only Collision,Parked Car,2,0,0,2,2019/07/05 00:00:00+00,7/5/2019 16:40,,0,NOT ENOUGH INFORMATION / NOT APPLICABLE,,N,Clear,Dry,Daylight,,,,32,One parked--one moving,0,0,N
2,-122.3566369,47.68694119,194,35000,35000,2020441,Matched,Block,,N 80TH ST BETWEEN 1ST AVE NW AND GREENWOOD AVE N,,,2,Injury Collision,Rear Ended,3,0,0,2,2005/08/14 00:00:00+00,8/14/2005 12:07,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",Y,0,Clear,Dry,Daylight,,5226016,,13,From same direction - both going straight - both moving - rear-end,0,0,N
1,-122.3443534,47.61327122,195,320879,322379,E938195,Matched,Intersection,29559,2ND AVE AND BLANCHARD ST, ,,1,Property Damage Only Collision,Pedestrian,2,1,0,1,2019/07/06 00:00:00+00,7/6/2019 23:30,At Intersection (intersection related),24,MOTOR VEHCILE STRUCK PEDESTRIAN,,N,Clear,Dry,Dark - Street Lights On,,,,1,Vehicle turning right hits pedestrian,0,521004,N
1,-122.3420194,47.70596699,196,330837,332337,EA29775,Unmatched,Block,,STONE AVE N BETWEEN N NORTHGATE WAY AND N 107TH ST, ,,1,Property Damage Only Collision,,2,0,0,0,2020/04/18 00:00:00+00,4/18/2020,Driveway Junction,11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,,,,,,,, ,,0,0,Y
2,-122.3701937,47.57155935,197,47400,47400,1790753,Matched,Block,,WEST SEATTLE BR WB BETWEEN SW ADMIRAL WY OFF RP AND POINT A,,,2,Injury Collision,Other,2,0,0,1,2005/01/14 00:00:00+00,1/14/2005 3:26,Mid-Block (but intersection related),28,MOTOR VEHICLE RAN OFF ROAD - HIT FIXED OBJECT,,1,Clear,Dry,Dark - Street Lights Off,,5014002,,50,Fixed object,0,0,N
1,-122.3862167,47.57317804,199,1247,1247,3645423,Matched,Block,,SW HINDS ST BETWEEN 42ND AVE SW AND CALIFORNIA S AVE SW, ,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2013/03/25 00:00:00+00,3/25/2013 11:00,Mid-Block (not related to intersection),0,NOT ENOUGH INFORMATION / NOT APPLICABLE,,N,Unknown,Unknown,Daylight,,,,32,One parked--one moving,0,0,N
1,-122.3249156,47.68084338,200,21600,21600,1778930,Matched,Block,,WOODLAWN AVE NE BETWEEN NE 72ND ST AND NE 73RD ST,,,1,Property Damage Only Collision,Angles,2,0,0,2,2004/06/02 00:00:00+00,6/2/2004,Driveway Junction,11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,4154031,,10,Entering at angle,0,0,N
1,-122.3540178,47.51827331,201,330820,332320,3838203,Matched,Block,,15TH AVE SW BETWEEN SW CAMBRIDGE ST AND SW ROXBURY ST, ,,1,Property Damage Only Collision,Sideswipe,2,0,0,2,2020/04/13 00:00:00+00,4/13/2020 15:07,Mid-Block (not related to intersection),16,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE SIDESWIPE",,N,Clear,Dry,Daylight,,,,26,From opposite direction - both going straight - sideswipe,0,0,N
1,,,202,111500,111500,3346098,Matched,Block,,BATTERY ST TUNNEL NB BETWEEN ALASKAN WY VI NB AND AURORA AVE N,,,1,Property Damage Only Collision,Other,1,0,0,1,2010/10/23 00:00:00+00,10/23/2010 18:01,Mid-Block (not related to intersection),26,MOTOR VEHICLE STRUCK OBJECT IN ROAD,,N,Raining,Wet,Dark - Street Lights On,,10296042,,50,Fixed object,0,0,N
2,-122.320284,47.52645748,203,1350,1350,3380693,Matched,Intersection,35095,10TH AVE S AND S CLOVERDALE ST, ,,2,Injury Collision,Cycles,5,0,1,1,2013/04/02 00:00:00+00,4/2/2013 19:15,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,Y,N,Overcast,Dry,Dusk,,,,45,Vehicle - Pedalcyclist,29054,0,N
2,-122.3224587,47.59583117,204,55700,55700,2622541,Matched,Intersection,30447,8TH AVE S AND S DEARBORN ST,,,2,Injury Collision,Angles,2,0,0,2,2006/11/18 00:00:00+00,11/18/2006 10:46,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,6322041,,10,Entering at angle,0,0,N
1,-122.3436535,47.62030595,205,1324,1324,3504074,Matched,Block,,7TH NB AVE N BETWEEN JOHN ST AND THOMAS ST, ,,1,Property Damage Only Collision,Sideswipe,3,0,0,2,2013/03/27 00:00:00+00,3/27/2013 16:45,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Overcast,Wet,Daylight,,,,11,From same direction - both going straight - both moving - sideswipe,0,0,N
2,-122.3396921,47.69688253,206,1002,1002,3503140,Matched,Block,,ASHWORTH AVE N BETWEEN N 92ND ST AND N 95TH ST, ,,2,Injury Collision,Angles,2,0,0,2,2013/03/20 00:00:00+00,3/20/2013 7:36,Driveway Junction,11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Raining,Wet,Daylight,,,,10,Entering at angle,0,0,N
1,-122.3007582,47.68304743,209,21200,21200,1227970,Matched,Intersection,24661,25TH AVE NE AND NE 75TH ST,,,1,Property Damage Only Collision,Left Turn,2,0,0,2,2004/06/08 00:00:00+00,6/8/2004,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Raining,Wet,Dark - Street Lights On,,4160038,,28,From opposite direction - one left turn - one straight,0,0,N
1,-122.2931133,47.54617853,210,320867,322367,E920057,Matched,Block,,S GRAHAM ST BETWEEN 30TH AVE S AND 31ST AVE S, ,,1,Property Damage Only Collision,Left Turn,2,0,0,2,2019/05/09 00:00:00+00,5/9/2019 8:27,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",Y,N,Clear,Dry,Daylight,,,,15,From same direction - one left turn - one straight,0,0,N
1,-122.3342058,47.56989028,211,330850,332350,EA30078,Matched,Block,,1ST AVE S BETWEEN S SPOKANE SR ST AND S ANDOVER ST, ,,1,Property Damage Only Collision,Angles,3,0,0,2,2020/04/20 00:00:00+00,4/20/2020 11:01,Driveway Junction,11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear,Dry,Daylight,,,,10,Entering at angle,0,0,N
1,-122.3010957,47.60166512,212,46000,46000,1744859,Matched,Intersection,30583,24TH AVE AND E YESLER WAY,,,1,Property Damage Only Collision,Angles,2,0,0,2,2005/07/16 00:00:00+00,7/16/2005 12:40,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,5197029,,10,Entering at angle,0,0,N
1,-122.3767307,47.52196692,213,1051,1051,3380687,Matched,Block,,35TH AVE SW BETWEEN SW HENDERSON ST AND SW BARTON ST, ,,1,Property Damage Only Collision,Angles,5,0,0,3,2013/03/26 00:00:00+00,3/26/2013 9:11,Mid-Block (but intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear,Dry,Daylight,,,,10,Entering at angle,0,0,N
1,-122.334195,47.59135531,214,23500,23500,1186682,Matched,Block,,1ST AVE S BETWEEN S ROYAL BROUGHAM WAY AND S ATLANTIC ST,,,1,Property Damage Only Collision,Other,1,0,0,1,2004/07/19 00:00:00+00,7/19/2004 1:48,Mid-Block (but intersection related),28,MOTOR VEHICLE RAN OFF ROAD - HIT FIXED OBJECT,,0,Clear,Dry,Dark - Street Lights On,,4201030,Y,50,Fixed object,0,0,N
1,-122.276948,47.67849981,215,330962,332462,EA30709,Matched,Block,,48TH AVE NE BETWEEN NE 68TH ST AND NE 70TH ST, ,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2020/04/24 00:00:00+00,4/24/2020 15:30,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Clear,Dry,Daylight,,,,32,One parked--one moving,0,0,Y
1,-122.320284,47.52645748,216,69600,69600,2798152,Matched,Intersection,35095,10TH AVE S AND S CLOVERDALE ST,,,1,Property Damage Only Collision,Angles,2,0,0,2,2007/03/23 00:00:00+00,3/23/2007 16:16,At Intersection (intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Overcast,Wet,Daylight,,7082017,,10,Entering at angle,0,0,N
2,-122.2931937,47.72289907,217,1354,1354,3503056,Matched,Intersection,36052,LAKE CITY WAY NE AND NE 130TH ST, ,,2,Injury Collision,Left Turn,2,0,0,2,2013/04/02 00:00:00+00,4/2/2013 19:29,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear,Dry,Dusk,,,,28,From opposite direction - one left turn - one straight,0,0,N
1,-122.2830441,47.66468869,218,55300,55300,2061341,Matched,Block,,SAND POINT WAY NE BETWEEN PENNY DR AND NE 50TH ST,,,1,Property Damage Only Collision,Other,3,0,0,1,2006/03/06 00:00:00+00,3/6/2006,Mid-Block (not related to intersection),28,MOTOR VEHICLE RAN OFF ROAD - HIT FIXED OBJECT,,0,Raining,Wet,Dark - Street Lights On,,6065012,Y,50,Fixed object,0,0,N
1,-122.3389037,47.60928514,219,1336,1336,3562734,Matched,Intersection,29592,2ND AVE AND PIKE ST, ,,1,Property Damage Only Collision,Left Turn,3,0,0,2,2013/03/27 00:00:00+00,3/27/2013 18:00,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear,Dry,Daylight,,,,15,From same direction - one left turn - one straight,0,0,N
1,-122.3450853,47.73306346,220,120000,120000,3561597,Matched,Block,,AURORA AVE N BETWEEN N 143RD ST AND ROOSEVELT WAY N,,,1,Property Damage Only Collision,Left Turn,3,0,0,2,2011/06/28 00:00:00+00,6/28/2011 17:30,Driveway Junction,11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear,Dry,Daylight,,11179018,,28,From opposite direction - one left turn - one straight,0,0,N
2,-122.3867655,47.57163777,221,42400,42400,1076796,Matched,Block,,CALIFORNIA AVE SW BETWEEN SW SPOKANE ST AND SW MANNING ST,,,2,Injury Collision,Parked Car,4,0,0,3,2005/10/09 00:00:00+00,10/9/2005,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,1,Clear,Dry,Dark - Street Lights On,,5282015,,32,One parked--one moving,0,0,N
1,-122.2794774,47.54818171,222,29600,29600,1779348,Matched,Block,,S RAYMOND ST BETWEEN 42ND AVE S AND 44TH AVE S,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2004/06/02 00:00:00+00,6/2/2004,Mid-Block (not related to intersection),13,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE AT ANGLE",,0,Clear,Dry,Other,,4154005,,32,One parked--one moving,0,0,N
1,-122.3800234,47.69242082,223,1241,1241,3613507,Matched,Intersection,36966,18TH AVE NW AND NW 87TH ST, ,,1,Property Damage Only Collision,Other,2,0,0,1,2013/03/31 00:00:00+00,3/31/2013 23:23,At Intersection (intersection related),26,MOTOR VEHICLE STRUCK OBJECT IN ROAD,,N,Clear,Dry,Dark - Street Lights On,,,,51,Other object,0,0,N
2,-122.3119162,47.66642828,224,1182,1182,3507788,Matched,Intersection,26051,15TH AVE NE AND NE 52ND ST, ,,2,Injury Collision,Pedestrian,2,1,0,1,2013/03/07 00:00:00+00,3/7/2013 20:37,At Intersection (intersection related),24,MOTOR VEHCILE STRUCK PEDESTRIAN,,N,Unknown,Unknown,Unknown,Y,,,0,Vehicle going straight hits pedestrian,0,520855,N
1,-122.3742777,47.65536214,225,1265,1265,3643906,Matched,Block,,W NICKERSON ST BETWEEN 13TH AVE W AND 14TH AVE W, ,,1,Property Damage Only Collision,Other,1,0,0,1,2013/03/31 00:00:00+00,3/31/2013 23:19,Mid-Block (not related to intersection),28,MOTOR VEHICLE RAN OFF ROAD - HIT FIXED OBJECT,,Y,Clear,Dry,Dark - Street Lights On,,,,50,Fixed object,0,0,N
1,-122.2888146,47.55745649,226,320848,322348,E937311,Unmatched,Block,,35TH AVE S BETWEEN S FERDINAND ST AND S HUDSON ST, ,,1,Property Damage Only Collision,,1,0,0,0,2019/07/02 00:00:00+00,7/2/2019,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,,,,,,,, ,,0,0,N
2,-122.3767073,47.5802748,228,54000,54000,2619027,Matched,Intersection,31101,SW ADMIRAL WAY AND SW OLGA ST,,,2,Injury Collision,Left Turn,2,0,0,2,2006/09/06 00:00:00+00,9/6/2006,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,6249042,,28,From opposite direction - one left turn - one straight,0,0,N
2,-122.311466,47.6141094,229,1312,1312,3476309,Matched,Intersection,30138,16TH AVE AND E PIKE ST, ,,2,Injury Collision,Other,2,0,0,1,2013/03/28 00:00:00+00,3/28/2013 17:20,At Intersection (intersection related),28,MOTOR VEHICLE RAN OFF ROAD - HIT FIXED OBJECT,,N,Other,Unknown,Daylight,,,,50,Fixed object,0,0,N
1,-122.3207058,47.6413541,230,41500,41500,C652638,Matched,Block,,E MILLER ST BETWEEN BROADWAY E AND 10TH AVE E,,,1,Property Damage Only Collision,Angles,2,0,0,2,2005/02/09 00:00:00+00,2/9/2005,Driveway Junction,11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,5040028,,10,Entering at angle,0,0,N
1,-122.3046668,47.68304716,231,39100,39100,2023345,Matched,Block,,NE 75TH ST BETWEEN 21ST AVE NE AND RAVENNA AVE NE,,,1,Property Damage Only Collision,Right Turn,2,0,0,2,2005/08/03 00:00:00+00,8/3/2005,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",Y,0,Clear,Dry,Daylight,,5215041,,16,From same direction - one right turn - one straight,0,0,N
1,-122.3854518,47.56558728,232,330934,332434,3856433,Matched,Block,,42ND AVE SW BETWEEN SW DAKOTA ST AND SW GENESEE ST, ,,1,Property Damage Only Collision,Parked Car,3,0,0,3,2020/04/17 00:00:00+00,4/17/2020 23:23,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Clear,Dry,Dark - Street Lights On,,,,32,One parked--one moving,0,0,N
2,-122.3787695,47.56468033,233,17400,17400,1798406,Matched,Intersection,31902,37TH AVE SW AND SW GENESEE ST,,,2,Injury Collision,Angles,2,0,0,2,2004/06/23 00:00:00+00,6/23/2004 8:05,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Overcast,Dry,Daylight,,4175033,,10,Entering at angle,0,0,N
1,-122.3426269,47.65161865,234,98100,98100,3210472,Matched,Block,,STONE WAY N BETWEEN N 36TH ST AND N 38TH ST,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2009/09/16 00:00:00+00,9/16/2009 13:48,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Overcast,Dry,Daylight,,9259004,,20,One car leaving parked position,0,0,N
2,-122.3342065,47.56730967,235,320810,322310,E936673,Matched,Intersection,32376,1ST AVE S AND S DAKOTA ST, ,,2,Injury Collision,Angles,2,0,0,2,2019/07/02 00:00:00+00,7/2/2019 5:34,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear,Dry,Dawn,,,,10,Entering at angle,0,0,N
1,-122.2699871,47.52913011,237,62900,62900,2615553,Matched,Intersection,35416,RAINIER AVE S AND S ROSE S ST,,,1,Property Damage Only Collision,Angles,2,0,0,2,2006/07/06 00:00:00+00,7/6/2006,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",Y,0,Overcast,Dry,Daylight,,6187026,,10,Entering at angle,0,0,N
1,-122.4010931,47.68129043,238,1050,1050,2906693,Matched,Block,,34TH AVE NW BETWEEN NW 72ND ST AND NW 73RD ST, ,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2013/03/26 00:00:00+00,3/26/2013 20:42,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Clear,Dry,Dark - No Street Lights,,,,32,One parked--one moving,0,0,N
2,-122.2836906,47.57887322,240,330965,332465,EA30723,Unmatched,Block,,LAKE WASHINGTON BLVD S BETWEEN LAKE PARK DR S AND S HORTON NR ST, ,,2,Injury Collision,,2,0,0,0,2020/04/26 00:00:00+00,4/26/2020,Mid-Block (not related to intersection),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,,,,,,,, ,,0,0,N
1,-122.3146879,47.58412338,241,51700,51700,2610729,Matched,Block,,14TH AVE S BETWEEN S HILL ST AND S WALKER ST,,,1,Property Damage Only Collision,Sideswipe,5,0,0,3,2006/08/15 00:00:00+00,8/15/2006 13:20,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,6227003,,26,From opposite direction - both going straight - sideswipe,0,0,N
1,-122.3256417,47.68094301,242,38500,38500,1791751,Matched,Block,,NE MAPLE LEAF PL BETWEEN EAST GREEN LAKE DR N AND WOODLAWN AVE NE,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2005/01/27 00:00:00+00,1/27/2005 17:05,Driveway Junction,11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Unknown,Unknown,Unknown,,5027003,,32,One parked--one moving,0,0,N
1,-122.3071791,47.66562739,244,34900,34900,2025685,Matched,Block,,19TH AVE NE BETWEEN NE 50TH ST AND NE 52ND ST,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2005/12/31 00:00:00+00,12/31/2005 23:20,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Clear,Wet,Dark - Street Lights On,,5365032,,32,One parked--one moving,0,0,N
2,-122.347606,47.62032232,246,1215,1215,3562737,Matched,Block,,5TH AVE N BETWEEN JOHN ST AND BROAD ST, ,,2,Injury Collision,Rear Ended,2,0,0,2,2013/03/30 00:00:00+00,3/30/2013 16:49,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",Y,N,Clear,Dry,Daylight,,,,14,From same direction - both going straight - one stopped - rear-end,0,0,N
1,-122.270006,47.51826498,247,330875,332375,3837968,Unmatched,Intersection,35463,51ST AVE S AND S CAMBRIDGE ST, ,,1,Property Damage Only Collision,,1,0,0,0,2020/04/20 00:00:00+00,4/20/2020,At Intersection (intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,,,,,,,, ,,0,0,Y
2,-122.3275245,47.60439327,248,45100,45100,1796669,Matched,Block,,JAMES ST BETWEEN 6TH AVE AND 7TH AVE,,,2,Injury Collision,Rear Ended,3,0,0,2,2005/04/19 00:00:00+00,4/19/2005 15:25,Mid-Block (but intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Clear,Dry,Daylight,,5109001,,14,From same direction - both going straight - one stopped - rear-end,0,0,N
1,-122.3357752,47.60922111,249,1227,1227,3643899,Matched,Intersection,29590,4TH AVE AND UNION ST, ,,1,Property Damage Only Collision,Rear Ended,2,0,0,2,2013/03/29 00:00:00+00,3/29/2013 20:20,At Intersection (intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Clear,Dry,Dusk,,,,14,From same direction - both going straight - one stopped - rear-end,0,0,N
1,-122.3180849,47.55043294,250,22800,22800,1795676,Matched,Block,,AIRPORT WAY S BETWEEN S HOMER ST AND S DORIS ST,,,1,Property Damage Only Collision,Other,2,0,0,2,2004/09/21 00:00:00+00,9/21/2004 10:34,Mid-Block (but intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Clear,Dry,Daylight,,4265024,,21,One car entering driveway access,0,0,N
1,-122.3342549,47.61851729,251,330831,332331,EA29358,Matched,Intersection,29504,DENNY WAY AND FAIRVIEW AVE, ,,1,Property Damage Only Collision,Angles,2,0,0,2,2020/04/10 00:00:00+00,4/10/2020 11:51,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear,Dry,Daylight,,,,10,Entering at angle,0,0,N
2,-122.3653634,47.71017455,252,69300,69300,2830309,Matched,Block,,NW CARKEEK PARK RD BETWEEN POINT B AND POINT C,,,2,Injury Collision,Other,1,0,0,1,2007/08/30 00:00:00+00,8/30/2007 16:20,Mid-Block (not related to intersection),29,MOTOR VEHICLE OVERTURNED IN ROAD,,0,Clear,Dry,Daylight,,7242002,,52,Vehicle overturned,0,0,N
1,-122.3392813,47.58750589,253,25700,25700,1186598,Matched,Block,,ALASKAN WAY S BETWEEN S MASSACHUSETTS ST AND EAST MARGINAL WAY S,,,1,Property Damage Only Collision,Sideswipe,3,0,0,2,2004/08/13 00:00:00+00,8/13/2004 19:20,Mid-Block (not related to intersection),16,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE SIDESWIPE",,0,Clear,Dry,Daylight,,4226036,,11,From same direction - both going straight - both moving - sideswipe,0,0,N
1,-122.3347909,47.54193929,254,57100,57100,2398730,Matched,Block,,1ST AV S BR SB BETWEEN POINT B AND POINT A,,,1,Property Damage Only Collision,Sideswipe,2,0,0,2,2006/03/20 00:00:00+00,3/20/2006 9:16,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",Y,0,Clear,Dry,Daylight,,6079043,,12,From same direction - both going straight - one stopped - sideswipe,0,0,N
1,-122.3340574,47.68483394,255,1183,1183,3501826,Matched,Block,,N 77TH ST BETWEEN EAST GREEN LAKE DR N AND MERIDIAN AVE N, ,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2013/03/30 00:00:00+00,3/30/2013 17:05,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Clear,Dry,Daylight,,,,32,One parked--one moving,0,0,N
1,-122.3202093,47.63048977,257,43200,43200,1744828,Matched,Intersection,28951,10TH AVE E AND E HIGHLAND DR,,,1,Property Damage Only Collision,Angles,2,0,0,2,2005/03/02 00:00:00+00,3/2/2005,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Raining,Wet,Daylight,,5061006,,10,Entering at angle,0,0,N
1,-122.3516459,47.61758358,259,1151,1151,3598980,Matched,Intersection,29666,2ND AVE AND BROAD ST, ,,1,Property Damage Only Collision,Angles,3,0,0,2,2013/03/29 00:00:00+00,3/29/2013 21:40,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,Y,Clear,Dry,Dark - Street Lights On,,,,10,Entering at angle,0,0,N
1,-122.3024569,47.62291564,260,1275,1275,3287446,Matched,Block,,23RD AVE E BETWEEN E HARRISON ST AND E REPUBLICAN ST, ,,1,Property Damage Only Collision,Other,1,0,0,1,2013/03/27 00:00:00+00,3/27/2013 14:49,Mid-Block (but intersection related),28,MOTOR VEHICLE RAN OFF ROAD - HIT FIXED OBJECT,,N,Unknown,Dry,Daylight,,,,50,Fixed object,0,0,N
1,-122.3618029,47.53369478,262,98600,98600,2796431,Matched,Block,,SW HOLDEN ST BETWEEN DELRIDGE WAY SW AND 24TH AVE SW,,,1,Property Damage Only Collision,Rear Ended,2,0,0,2,2009/05/15 00:00:00+00,5/15/2009 15:15,Mid-Block (but intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Clear,Dry,Daylight,,9135020,,13,From same direction - both going straight - both moving - rear-end,0,0,N
1,-122.4165263,47.57375929,263,330937,332437,3856609,Unmatched,Block,,BEACH DR SW BETWEEN BENTON PL SW AND 64TH AVE SW, ,,1,Property Damage Only Collision,,3,0,0,0,2020/04/21 00:00:00+00,4/21/2020,Mid-Block (not related to intersection),16,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE SIDESWIPE",,,,,,,,, ,,0,0,Y
1,-122.3560672,47.62327417,264,64800,64800,C688183,Matched,Block,,REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2007/06/24 00:00:00+00,6/24/2007 13:00,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,7175031,,19,One car entering parked position,0,0,N
2,-122.3141689,47.66749967,265,1305,1305,3502004,Matched,Block,,BROOKLYN AVE NE BETWEEN NE 52ND ST AND NE 55TH ST, ,,2,Injury Collision,Left Turn,2,0,0,2,2013/03/27 00:00:00+00,3/27/2013 9:15,Driveway Junction,11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear,Dry,Daylight,,,,28,From opposite direction - one left turn - one straight,0,0,N
2,-122.3342792,47.62316241,266,82100,82100,2908512,Matched,Intersection,28769,FAIRVIEW AVE N AND REPUBLICAN ST, ,,2,Injury Collision,Pedestrian,2,1,0,1,2008/05/19 00:00:00+00,5/19/2008 7:40,At Intersection (intersection related),24,MOTOR VEHCILE STRUCK PEDESTRIAN,,0,Clear,Dry,Daylight,Y,8140002,,1,Vehicle turning right hits pedestrian,0,522958,N
1,-122.3018107,47.62018649,267,39500,39500,2064226,Matched,Block,,E JOHN ST BETWEEN 23RD AVE E AND 24TH AVE E,,,1,Property Damage Only Collision,Other,2,0,0,2,2005/11/11 00:00:00+00,11/11/2005 9:07,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Raining,Wet,Daylight,,5315032,,23,From same direction - all others,0,0,N
